source_id,target_id,weight
2288,1004,28
2288,1005,20
2288,1113,10
2288,1117,50
2288,1132,62
2288,1152,13
2288,1166,12
2288,1187,11
2288,1188,33
2288,1208,13
2288,1224,12
2288,1244,10
2288,1277,25
2288,1372,10
2288,1395,10
2288,1510,22
2288,1645,21
2288,1725,17
2288,1767,17
2288,1768,17
2288,1799,15
2288,1801,24
2288,1811,13
2288,2252,11
2288,2288,104
2288,2814,15
2288,2901,11
2288,2949,24
2288,3104,22
2288,3196,22
2288,3204,11
2288,3280,77
2288,3324,76
2288,3466,10
2288,3560,58
2288,3671,11
2288,3673,16
2288,3702,15
2288,3828,16
2288,3840,26
2288,3844,14
2288,3873,90
2288,4070,22
2288,4119,11
2288,4297,18
2288,4299,11
2288,4305,13
2288,4560,10
2288,4799,15
2288,4803,25
2288,4986,15
2288,5162,13
2288,5168,89
2288,5364,11
2288,5642,17
2288,5701,10
2288,5927,88
2288,5951,37
2288,6111,46
2288,6146,10
2288,6168,26
2288,6169,17
2288,6170,10
2288,6171,10
2288,6177,12
2288,6275,13
2288,6289,71
2288,7251,18
2288,7750,10
2288,7813,33
2288,8835,131
2288,9290,10
2288,9450,19
2288,10086,60
2288,10087,30
2288,10088,19
2288,10091,12
2288,10104,13
2288,10168,20
2288,10171,87
2288,10287,11
2288,10305,11
2288,10308,11
2288,10309,14
2288,10317,10
2288,10348,12
2308,68,16
2308,245,11
2308,1589,11
2308,4799,11
2311,109,13
2311,1252,11
2313,67,11
2313,109,13
2313,568,10
2313,808,10
2313,951,22
2313,957,11
2313,1252,10
2313,1589,14
2314,951,11
2316,109,12
2316,533,22
2316,951,28
2316,957,10
2319,68,10
2319,109,13
